Id,label
0,2
1,0
2,2
3,0
4,1
5,4
6,5
7,0
8,3
9,3
10,2
11,3
12,2
13,3
14,2
15,2
16,3
17,3
18,5
19,6
20,3
21,0
22,0
23,1
24,2
25,0
26,4
27,0
28,0
29,5
30,2
31,3
32,4
33,0
34,3
35,1
36,2
37,2
38,0
39,3
40,6
41,0
42,3
43,0
44,1
45,4
46,2
47,3
48,6
49,1
50,2
51,0
52,3
53,4
54,2
55,6
56,0
57,1
58,4
59,0
60,4
61,4
62,4
63,0
64,4
65,3
66,1
67,3
68,0
69,3
70,3
71,4
72,4
73,4
74,6
75,6
76,4
77,0
78,3
79,1
80,4
81,4
82,6
83,4
84,4
85,0
86,2
87,1
88,3
89,4
90,4
91,6
92,2
93,1
94,2
95,2
96,0
97,6
98,3
99,2
100,0
101,5
102,3
103,1
104,1
105,0
106,4
107,5
108,0
109,0
110,6
111,4
112,5
113,5
114,0
115,6
116,6
117,4
118,0
119,4
120,1
121,6
122,5
123,1
124,4
125,2
126,4
127,6
128,1
129,0
130,0
131,5
132,3
133,2
134,4
135,0
136,1
137,3
138,5
139,6
140,6
141,0
142,1
143,5
144,2
145,5
146,3
147,6
148,2
149,2
150,5
151,0
152,2
153,2
154,6
155,0
156,5
157,4
158,0
159,5
160,1
161,1
162,0
163,5
164,3
165,2
166,3
167,0
168,1
169,1
170,4
171,2
172,0
173,4
174,5
175,1
176,5
177,4
178,3
179,0
180,1
181,3
182,3
183,3
184,2
185,5
186,2
187,4
188,6
189,3
190,2
191,0
192,1
193,1
194,2
195,1
196,2
197,0
198,2
199,2
200,3
201,1
202,0
203,4
204,1
205,0
206,0
207,5
208,6
209,6
210,0
211,3
212,5
213,1
214,6
215,3
216,4
217,1
218,5
219,5
220,4
221,6
222,4
223,6
224,6
225,5
226,3
227,4
228,5
229,1
230,6
231,6
232,5
233,6
234,3
235,6
236,3
237,5
238,3
239,1
240,5
241,6
242,1
243,5
244,2
245,5
246,0
247,2
248,1
249,5
250,2
251,1
252,6
253,5
254,3
255,3
256,2
257,2
258,2
259,6
260,1
261,3
262,3
263,3
264,5
265,2
266,5
267,5
268,0
269,2
270,3
271,6
272,6
273,1
274,5
275,1
276,5
277,6
278,1
279,1
280,5
281,2
282,3
283,2
284,1
285,0
286,0
287,3
288,2
289,3
290,0
291,5
292,1
293,1
294,5
295,3
296,2
297,6
298,0
299,5
300,2
301,0
302,0
303,5
304,0
305,2
306,5
307,1
308,3
309,6
310,0
311,0
312,6
313,2
314,3
315,6
316,1
317,6
318,0
319,6
320,4
321,5
322,1
323,3
324,5
325,3
326,4
327,5
328,4
329,2
330,6
331,4
332,3
333,0
334,0
335,1
336,5
337,6
338,6
339,6
340,1
341,4
342,3
343,1
344,1
345,4
346,5
347,4
348,2
349,2
350,3
351,3
352,0
353,4
354,6
355,4
356,4
357,0
358,4
359,3
360,1
361,1
362,4
363,3
364,5
365,0
366,2
367,5
368,2
369,0
370,4
371,2
372,2
373,6
374,5
375,5
376,2
377,3
378,5
379,2
380,5
381,4
382,3
383,6
384,3
385,4
386,0
387,4
388,4
389,4
390,0
391,0
392,6
393,5
394,6
395,2
396,4
397,6
398,4
399,2
400,4
401,0
402,3
403,2
404,6
405,1
406,6
407,2
408,1
409,1
410,0
411,3
412,1
413,4
414,2
415,5
416,1
417,0
418,6
419,6
420,4
421,4
422,0
423,5
424,2
425,2
426,2
427,5
428,1
429,4
430,5
431,3
432,3
433,5
434,3
435,4
436,2
437,6
438,3
439,3
440,1
441,4
442,6
443,4
444,3
445,1
446,6
447,0
448,4
449,4
450,2
451,2
452,3
453,0
454,3
455,1
456,5
457,1
458,6
459,3
460,0
461,1
462,5
463,0
464,1
465,1
466,4
467,6
468,4
469,3
470,3
471,4
472,0
473,1
474,1
475,6
476,4
477,5
478,4
479,0
480,6
481,2
482,2
483,6
484,1
485,1
486,3
487,4
488,0
489,2
490,2
491,2
492,6
493,5
494,4
495,0
496,2
497,2
498,3
499,4
500,5
501,4
502,0
503,0
504,1
505,3
506,1
507,1
508,4
509,5
510,2
511,5
512,5
513,1
514,3
515,3
516,1
517,3
518,3
519,3
520,6
521,6
522,0
523,0
524,2
525,5
526,1
527,3
528,3
529,3
530,3
531,0
532,4
533,6
534,6
535,4
536,3
537,5
538,2
539,4
540,0
541,0
542,4
543,1
544,0
545,2
546,1
547,1
548,6
549,4
550,6
551,3
552,4
553,2
554,0
555,0
556,1
557,4
558,0
559,4
560,3
561,6
562,1
563,2
564,0
565,1
566,1
567,0
568,5
569,2
570,1
571,6
572,4
573,6
574,6
575,4
576,6
577,3
578,5
579,5
580,5
581,1
582,6
583,5
584,5
585,3
586,6
587,2
588,6
589,1
590,1
591,4
592,2
593,6
594,0
595,2
596,6
597,5
598,2
599,0
600,6
601,5
602,6
603,0
604,1
605,6
606,2
607,2
608,2
609,1
610,3
611,5
612,3
613,5
614,1
615,1
616,1
617,0
618,5
619,1
620,3
621,6
622,2
623,3
624,4
625,2
626,0
627,5
628,1
629,6
630,0
631,3
632,2
633,0
634,2
635,5
636,1
637,2
638,6
639,1
640,5
641,2
642,0
643,5
644,6
645,4
646,0
647,2
648,3
649,0
650,2
651,0
652,0
653,4
654,5
655,5
656,0
657,4
658,1
659,0
660,5
661,3
662,2
663,3
664,4
665,6
666,1
667,5
668,6
669,0
670,2
671,1
672,5
673,0
674,0
675,5
676,4
677,3
678,6
679,1
680,1
681,6
682,4
683,0
684,4
685,0
686,3
687,3
688,0
689,2
690,4
691,4
692,6
693,5
694,5
695,6
696,3
697,0
698,2
699,6
700,2
701,6
702,5
703,1
704,4
705,4
706,5
707,3
708,6
709,3
710,3
711,6
712,3
713,3
714,6
715,2
716,2
717,3
718,1
719,4
720,3
721,3
722,1
723,2
724,1
725,2
726,1
727,2
728,6
729,6
730,6
731,1
732,3
733,0
734,0
735,0
736,3
737,2
738,3
739,4
740,0
741,3
742,5
743,4
744,2
745,2
746,6
747,4
748,6
749,5
750,0
751,1
752,3
753,1
754,2
755,4
756,3
757,1
758,6
759,0
760,2
761,6
762,1
763,4
764,0
765,5
766,0
767,2
768,4
769,2
770,2
771,3
772,1
773,1
774,1
775,0
776,4
777,1
778,6
779,1
780,1
781,6
782,1
783,6
784,1
785,2
786,3
787,5
788,4
789,6
790,2
791,1
792,2
793,1
794,0
795,3
796,1
797,1
798,1
799,1
800,3
801,5
802,2
803,3
804,2
805,0
806,1
807,6
808,6
809,4
810,6
811,0
812,0
813,5
814,6
815,0
816,2
817,1
818,6
819,3
820,4
821,1
822,6
823,3
824,6
825,5
826,1
827,2
828,0
829,6
830,5
831,3
832,5
833,6
834,0
835,2
836,0
837,5
838,2
839,2
840,5
841,2
842,1
843,2
844,2
845,1
846,4
847,5
848,6
849,4
850,4
851,5
852,5
853,5
854,4
855,4
856,0
857,5
858,4
859,4
860,5
861,4
862,3
863,5
864,4
865,2
866,5
867,4
868,2
869,3
870,5
871,4
872,6
873,3
874,5
875,1
876,0
877,1
878,4
879,2
880,5
881,3
882,5
883,0
884,4
885,3
886,6
887,5
888,1
889,1
890,1
891,3
892,2
893,4
894,6
895,3
896,1
897,5
898,4
899,2
900,3
901,3
902,1
903,1
904,6
905,0
906,5
907,0
908,6
909,1
910,3
911,0
912,0
913,1
914,4
915,2
916,2
917,1
918,6
919,6
920,5
921,4
922,1
923,2
924,0
925,3
926,1
927,3
928,6
929,4
930,6
931,3
932,1
933,1
934,0
935,6
936,3
937,2
938,3
939,5
940,0
941,1
942,6
943,1
944,2
945,4
946,0
947,4
948,4
949,5
950,0
951,3
952,0
953,1
954,2
955,2
956,5
957,4
958,6
959,2
960,6
961,4
962,3
963,4
964,4
965,6
966,2
967,2
968,2
969,6
970,4
971,1
972,3
973,6
974,5
975,6
976,5
977,5
978,0
979,2
980,0
981,1
982,3
983,5
984,4
985,4
986,3
987,3
988,1
989,1
990,2
991,1
992,6
993,1
994,0
995,2
996,1
997,0
998,5
999,5
1000,4
1001,1
1002,1
1003,2
1004,5
1005,4
1006,5
1007,1
1008,6
1009,5
1010,4
1011,4
1012,5
1013,5
1014,0
1015,2
1016,2
1017,2
1018,5
1019,4
1020,4
1021,6
1022,1
1023,3
1024,4
1025,4
1026,3
1027,3
1028,6
1029,3
1030,3
1031,2
1032,2
1033,6
1034,4
1035,4
1036,2
1037,6
1038,5
1039,2
1040,1
1041,0
1042,0
1043,4
1044,5
1045,4
1046,6
1047,2
1048,0
1049,2
1050,3
1051,3
1052,1
1053,3
1054,3
1055,5
1056,5
1057,5
1058,2
1059,6
1060,1
1061,0
1062,0
1063,4
1064,6
1065,0
1066,4
1067,3
1068,0
1069,2
1070,3
1071,3
1072,3
1073,0
1074,1
1075,3
1076,0
1077,5
1078,2
1079,4
1080,1
1081,1
1082,4
1083,1
1084,1
1085,5
1086,4
1087,5
1088,5
1089,4
1090,0
1091,1
1092,3
1093,6
1094,1
1095,6
1096,2
1097,1
1098,1
1099,5
1100,0
1101,0
1102,2
1103,5
1104,0
1105,0
1106,6
1107,4
1108,3
1109,6
1110,0
1111,1
1112,4
1113,3
1114,6
1115,2
1116,3
1117,6
1118,3
1119,5
1120,0
1121,1
1122,2
1123,0
1124,5
1125,0
1126,0
1127,0
1128,2
1129,0
1130,2
1131,1
1132,5
1133,6
1134,3
1135,4
1136,6
1137,5
1138,0
1139,3
1140,2
1141,2
1142,0
1143,1
1144,4
1145,2
1146,1
1147,5
1148,3
1149,0
1150,0
1151,5
1152,1
1153,3
1154,5
1155,0
1156,0
1157,6
1158,1
